Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,Score
7/7/2015,3,2,2,5,0,5,2,0,1,6,4,5,0,7,5,5,1,4,0,5,36 to 50,Female,609.5,Good
7/7/2015,2,3,4,3,8,10,5,2,2,5,2,5,5,8,2,2,2,3,2,6,36 to 50,Female,655.6,Good
7/7/2015,2,3,3,4,4,10,3,2,2,2,2,4,5,8,10,2,2,4,8,3,36 to 50,Female,631.6,Good
7/7/2015,3,3,10,3,10,7,2,5,2,3,5,5,0,5,7,5,1,5,2,0,51 or more,Female,622.7,Good
7/7/2015,5,1,3,3,10,4,2,4,2,5,0,5,0,7,0,0,2,8,1,5,51 or more,Female,663.9,Good
9/2/2015,3,3,7,8,7,5,2,5,1,8,2,8,10,6,5,4,2,5,1,10,36 to 50,Female,700,Excellent
9/7/2015,3,2,4,10,4,10,4,0,1,5,1,6,7,8,5,2,2,10,6,10,Less than 20,Male,700,Excellent
7/9/2015,3,4,5,3,5,7,4,0,1,8,2,8,10,6,0,2,2,8,2,2,21 to 35,Female,676.2,Good
11/3/2015,5,3,7,7,10,5,5,3,1,8,3,4,10,10,3,4,1,7,2,9,51 or more,Female,700,Excellent
7/10/2015,4,4,2,6,10,10,0,4,2,3,2,3,0,6,0,0,1,3,8,1,51 or more,Female,634.4,Good
7/10/2015,2,4,7,7,1,1,3,0,2,2,2,7,4,8,7,3,2,3,0,6,36 to 50,Female,610.1,Good
7/12/2015,1,4,3,8,0,2,1,0,1,2,1,8,2,7,7,1,2,4,1,7,21 to 35,Male,618.6,Good
7/12/2015,2,2,10,5,2,8,3,4,2,7,1,6,10,8,0,0,2,5,2,7,21 to 35,Male,686.4,Good
7/12/2015,5,3,0,3,6,6,6,3,1,8,7,7,2,6,0,3,2,5,6,5,36 to 50,Female,689.6,Good
7/12/2015,3,3,2,3,7,5,3,2,1,8,0,2,5,8,3,2,1,4,5,4,21 to 35,Female,639.7,Good
4/29/2016,2,1,6,7,5,10,5,0,1,5,6,7,0,7,0,1,2,10,8,3,21 to 35,Female,700,Excellent
7/12/2015,4,2,10,4,6,10,4,0,1,8,2,1,1,8,1,1,2,3,3,3,21 to 35,Male,673.5,Good
9/29/2016,2,0,2,10,10,10,0,3,2,3,10,6,1,8,0,0,1,10,10,10,21 to 35,Male,700,Excellent
6/6/2017,3,1,4,3,7,6,5,5,1,5,4,5,2,9,0,0,2,3,5,8,36 to 50,Female,700,Excellent
7/13/2015,3,1,6,10,10,6,3,5,2,8,4,1,5,8,0,0,2,5,1,2,36 to 50,Male,687.1,Good
7/13/2015,2,4,3,8,6,5,1,2,1,8,1,4,6,4,0,3,2,3,2,5,21 to 35,Male,652.9,Good
7/13/2015,3,5,5,4,5,3,2,5,2,10,6,3,3,7,5,7,2,10,10,10,21 to 35,Female,668.6,Good
6/15/2017,3,0,3,6,8,8,3,5,2,9,3,6,10,8,0,0,1,10,5,5,51 or more,Male,700,Excellent
6/26/2017,2,3,10,6,5,10,6,5,1,7,1,6,6,8,2,2,2,5,1,5,Less than 20,Female,700,Excellent
7/13/2015,2,4,6,10,5,5,6,4,2,6,1,7,10,6,0,3,2,1,3,10,36 to 50,Female,677.7,Good
7/13/2015,1,5,1,3,6,5,3,5,1,2,2,8,1,7,0,6,2,5,1,1,21 to 35,Male,633.9,Good
7/13/2015,1,4,1,2,5,3,1,5,1,1,5,8,1,7,0,4,2,2,1,1,21 to 35,Male,628.8,Good
7/13/2015,2,4,10,3,10,7,8,3,1,6,0,5,5,7,0,1,2,10,2,2,21 to 35,Female,692.8,Good
7/13/2015,3,4,6,4,7,10,3,3,1,4,1,10,5,6,0,3,1,7,2,8,36 to 50,Female,673.2,Good
7/13/2015,4,2,10,3,1,2,3,3,1,7,2,4,1,7,0,3,2,10,1,7,Less than 20,Female,673.9,Good
12/11/2017,4,5,10,10,10,10,6,5,1,8,2,6,2,8,6,6,2,10,1,1,21 to 35,Female,700,Excellent
7/14/2015,3,1,3,5,2,10,4,2,1,5,4,3,10,8,0,1,2,10,4,1,36 to 50,Female,692.6,Good
7/14/2015,0,5,0,3,3,8,1,5,2,4,4,1,1,6,10,10,2,3,2,1,36 to 50,Female,574.5,Good
7/14/2015,1,3,10,3,2,3,2,0,1,2,2,5,2,8,0,0,1,4,3,7,51 or more,Female,630.1,Good
6/4/2018,5,3,10,10,10,8,3,3,1,4,2,7,2,7,3,2,2,8,1,3,21 to 35,Female,700,Excellent
7/14/2015,3,3,0,2,0,5,0,5,2,3,1,2,0,6,0,6,1,2,2,10,21 to 35,Male,591.7,Good
6/7/2018,3,3,5,8,10,4,2,3,1,7,4,6,5,8,0,2,2,7,3,7,51 or more,Female,700,Excellent
7/15/2015,2,5,1,8,5,2,2,5,2,2,0,10,0,8,7,10,1,2,0,10,36 to 50,Female,593.7,Good
7/15/2015,4,1,1,10,10,10,5,5,2,8,3,7,3,6,7,2,1,6,4,10,51 or more,Male,682.8,Good
10/17/2018,2,2,5,5,5,7,6,0,1,10,4,8,10,6,4,0,2,4,4,10,36 to 50,Male,700,Excellent
7/15/2015,4,2,10,8,8,4,6,3,1,5,4,3,2,7,10,1,2,5,4,8,21 to 35,Female,687.3,Good
7/15/2015,4,3,10,8,10,3,2,3,2,0,0,3,0,5,0,2,2,4,0,2,51 or more,Female,635.9,Good
7/15/2015,2,3,0,8,10,10,1,2,2,5,0,2,10,9,0,3,1,10,0,10,51 or more,Female,655.2,Good
7/15/2015,3,2,4,1,1,10,3,2,1,7,5,7,2,7,4,3,1,3,5,8,21 to 35,Male,652.4,Good
7/15/2015,2,3,3,10,3,4,0,4,1,7,1,8,1,8,0,3,2,2,2,3,36 to 50,Female,657.9,Good
7/16/2015,3,5,10,2,9,10,5,5,1,10,1,10,10,5,10,7,2,7,2,2,36 to 50,Female,686.6,Good
10/17/2018,3,2,4,10,10,10,2,5,2,6,1,7,5,7,0,2,2,5,10,3,21 to 35,Female,700,Excellent
7/16/2015,4,2,10,10,5,8,5,2,2,6,3,10,2,8,2,2,1,10,3,7,21 to 35,Female,685.5,Good
1/29/2019 13:51,3,0,3,3,6,3,10,5,2,9,4,5,3,9,0,0,2,5,4,10,21 to 35,Male,700,Excellent
7/16/2015,2,3,3,10,10,10,5,1,2,7,4,2,6,8,0,2,2,4,1,1,36 to 50,Female,663.5,Good
2/15/2019 15:16,5,3,7,6,10,10,4,5,1,4,1,6,5,8,3,9,2,10,4,3,36 to 50,Female,700,Excellent
7/16/2015,3,5,8,9,5,10,4,2,2,8,4,10,2,8,10,4,2,3,3,5,21 to 35,Female,658.3,Good
7/17/2015,1,2,4,6,1,10,4,0,2,5,1,5,1,6,0,1,2,8,1,2,36 to 50,Male,633.1,Good
